frame_number,instruction_text,quality_score,image_path,robot_x,robot_y,robot_z,robot_qx,robot_qy,robot_qz,robot_qw,roll_deg,pitch_deg,yaw_deg
0,make slow circular sweeps until moving anatomy appears,1,frames/frame_000000.png,-0.598428,0.086701,0.145440,-0.642169,0.200779,0.694014,-0.256226,81.151519,52.041716,-94.095991
1,make slow circular sweeps until moving anatomy appears,1,frames/frame_000001.png,-0.598446,0.086673,0.145410,-0.642187,0.200780,0.693987,-0.256253,81.156309,52.039718,-94.089017
2,make slow circular sweeps until moving anatomy appears,1,frames/frame_000002.png,-0.598446,0.086680,0.145422,-0.642194,0.200767,0.693988,-0.256242,81.156687,52.041863,-94.088447
3,make slow circular sweeps until moving anatomy appears,1,frames/frame_000003.png,-0.598457,0.086665,0.145447,-0.642174,0.200769,0.693999,-0.256262,81.152374,52.039704,-94.091186
4,make slow circular sweeps until moving anatomy appears,1,frames/frame_000004.png,-0.598441,0.086685,0.145431,-0.642174,0.200790,0.694001,-0.256239,81.153932,52.039895,-94.093434
5,make slow circular sweeps until moving anatomy appears,1,frames/frame_000005.png,-0.598443,0.086699,0.145426,-0.642174,0.200790,0.694001,-0.256240,81.153919,52.039712,-94.093361
6,make slow circular sweeps until moving anatomy appears,1,frames/frame_000006.png,-0.598462,0.086706,0.145452,-0.642156,0.200801,0.694018,-0.256230,81.150573,52.039286,-94.098457
7,make slow circular sweeps until moving anatomy appears,1,frames/frame_000007.png,-0.598441,0.086707,0.145430,-0.642168,0.200806,0.693997,-0.256251,81.154355,52.037396,-94.093363
8,make slow circular sweeps until moving anatomy appears,1,frames/frame_000008.png,-0.599499,0.084101,0.145586,-0.642945,0.198703,0.693427,-0.257482,81.166743,52.124494,-93.796303
9,make slow circular sweeps until moving anatomy appears,1,frames/frame_000009.png,-0.598450,0.086662,0.145428,-0.642191,0.200763,0.693985,-0.256260,81.155978,52.040609,-94.087330
10,make slow circular sweeps until moving anatomy appears,1,frames/frame_000010.png,-0.598417,0.086669,0.145382,-0.642219,0.200782,0.693961,-0.256240,81.164031,52.041238,-94.082612
11,make slow circular sweeps until moving anatomy appears,1,frames/frame_000011.png,-0.598455,0.086663,0.145452,-0.642167,0.200763,0.694009,-0.256257,81.150072,52.040446,-94.093516
12,make slow circular sweeps until moving anatomy appears,1,frames/frame_000012.png,-0.598440,0.086695,0.145412,-0.642194,0.200787,0.693992,-0.256216,81.158075,52.042291,-94.091108
13,make slow circular sweeps until moving anatomy appears,1,frames/frame_000013.png,-0.598428,0.086680,0.145419,-0.642187,0.200778,0.693993,-0.256237,81.155980,52.041196,-94.090502
14,make slow circular sweeps until moving anatomy appears,1,frames/frame_000014.png,-0.599489,0.084074,0.145576,-0.642964,0.198690,0.693410,-0.257492,81.170218,52.125134,-93.790832
15,make slow circular sweeps until moving anatomy appears,1,frames/frame_000015.png,-0.598430,0.086667,0.145401,-0.642214,0.200770,0.693968,-0.256243,81.161883,52.041841,-94.083433
16,make slow circular sweeps until moving anatomy appears,1,frames/frame_000016.png,-0.598432,0.086672,0.145422,-0.642181,0.200769,0.694002,-0.256236,81.153710,52.041993,-94.092140
